INFO:__main__:args:[Namespace(gpuFrac=0.3, gpuNum=3, random=True, sequential=False)]
INFO:__main__:startTime:[06:00:00] - endTime:[18:00:00]
INFO:__main__:state_size:[3]
INFO:__main__:action_size:[2]
INFO:__main__:_________________________________________________________________
INFO:__main__:Layer (type)                 Output Shape              Param #   
INFO:__main__:=================================================================
INFO:__main__:dense_1 (Dense)              (None, 128)               512       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_2 (Dense)              (None, 64)                8256      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_3 (Dense)              (None, 32)                2080      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_4 (Dense)              (None, 16)                528       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_5 (Dense)              (None, 8)                 136       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_6 (Dense)              (None, 2)                 18        
INFO:__main__:=================================================================
INFO:__main__:Total params: 11,530
INFO:__main__:Trainable params: 11,530
INFO:__main__:Non-trainable params: 0
INFO:__main__:_________________________________________________________________
INFO:__main__:epsilon_decay:[0.995], epsilon:[1.0], learning_rate:[0.001], memory:[deque([], maxlen=1000)], state_size:[3], action_size:[2], epsilon_min:[0.01], model:[<keras.models.Sequential object at 0x7fcfc0cad990>], gamma:[0.95]
INFO:__main__:minGameScore:[425], minGameSequence:[50], gameMinutesLength:[500], batch_size:[128]
INFO:__main__:episode: 84, state: init state:[[ 5 51  0]], score: [70], loss:[0.635451853554], sequence:[0], random actions:[342], e:[0.66]
INFO:__main__:episode: 85, state: init state:[[ 1 43  0]], score: [70], loss:[1.07680113863], sequence:[0], random actions:[318], e:[0.65]
INFO:__main__:episode: 86, state: init state:[[ 1 14  0]], score: [-20], loss:[0.689831551823], sequence:[0], random actions:[321], e:[0.65]
INFO:__main__:episode: 87, state: init state:[[20 49  0]], score: [192], loss:[1.01141759473], sequence:[0], random actions:[328], e:[0.65]
INFO:__main__:episode: 88, state: init state:[[ 9 34  1]], score: [204], loss:[0.401097694234], sequence:[0], random actions:[309], e:[0.64]
INFO:__main__:episode: 89, state: init state:[[ 0 46  0]], score: [106], loss:[0.311483031186], sequence:[0], random actions:[316], e:[0.64]
INFO:__main__:episode: 90, state: init state:[[17 11  1]], score: [88], loss:[0.465024811365], sequence:[0], random actions:[306], e:[0.64]
INFO:__main__:episode: 91, state: init state:[[ 2 39  0]], score: [46], loss:[0.500780922632], sequence:[0], random actions:[311], e:[0.63]
INFO:__main__:episode: 92, state: init state:[[ 4 18  0]], score: [160], loss:[0.520811950441], sequence:[0], random actions:[305], e:[0.63]
INFO:__main__:episode: 93, state: init state:[[ 3 15  0]], score: [202], loss:[0.826057303877], sequence:[0], random actions:[307], e:[0.63]
INFO:__main__:episode: 94, state: init state:[[ 3 31  0]], score: [-58], loss:[0.531114262747], sequence:[0], random actions:[289], e:[0.62]
INFO:__main__:episode: 95, state: init state:[[ 0 58  0]], score: [218], loss:[0.435685455083], sequence:[0], random actions:[313], e:[0.62]
INFO:__main__:episode: 96, state: init state:[[17 50  1]], score: [60], loss:[0.420940450257], sequence:[0], random actions:[306], e:[0.62]
INFO:__main__:episode: 97, state: init state:[[15 49  1]], score: [110], loss:[0.463558199554], sequence:[0], random actions:[323], e:[0.61]
INFO:__main__:episode: 98, state: init state:[[4 6 0]], score: [156], loss:[0.507273100527], sequence:[0], random actions:[311], e:[0.61]
