INFO:__main__:episode: 49, state: init state:[[ 2  1 30  0  0  0  0  0  0  0  0  0  0  0]], score: [140.363636364], loss:[0.000369982575253], sequence:[0], random actions:[2247], e:[0.78]
INFO:__main__:episode: 50, state: init state:[[ 2  1 47  0  0  0  0  0  0  0  0  0  0  0]], score: [176.909090909], loss:[0.000377410476841], sequence:[0], random actions:[2264], e:[0.78]
INFO:__main__:episode: 51, state: init state:[[2 2 4 0 0 0 0 0 0 0 0 0 0 0]], score: [151.272727273], loss:[0.000418112531211], sequence:[0], random actions:[2257], e:[0.77]
INFO:__main__:episode: 52, state: init state:[[ 2  2 21  0  0  0  0  0  0  0  0  0  0  0]], score: [168.181818182], loss:[0.00044011570178], sequence:[0], random actions:[2191], e:[0.77]
INFO:__main__:episode: 53, state: init state:[[ 2  2 38  0  0  0  0  0  0  0  0  0  0  0]], score: [178.363636364], loss:[0.000487549230084], sequence:[0], random actions:[2244], e:[0.77]
INFO:__main__:episode: 54, state: init state:[[ 2  2 55  0  0  0  0  0  0  0  0  0  0  0]], score: [184.0], loss:[0.000515233174898], sequence:[0], random actions:[2218], e:[0.76]
INFO:__main__:episode: 55, state: init state:[[ 2  3 12  0  0  0  0  0  0  0  0  0  0  0]], score: [180.0], loss:[0.000528840223979], sequence:[0], random actions:[2207], e:[0.76]
INFO:__main__:episode: 56, state: init state:[[ 2  3 29  0  0  0  0  0  0  0  0  0  0  0]], score: [169.454545455], loss:[0.000545477175899], sequence:[0], random actions:[2214], e:[0.76]
INFO:__main__:episode: 57, state: init state:[[ 2  3 46  0  0  0  0  0  0  0  0  0  0  0]], score: [208.909090909], loss:[0.000549383611511], sequence:[0], random actions:[2182], e:[0.75]
INFO:__main__:episode: 58, state: init state:[[2 4 3 0 0 0 0 0 0 0 0 0 0 0]], score: [196.545454545], loss:[0.000586459050328], sequence:[0], random actions:[2175], e:[0.75]
INFO:__main__:episode: 59, state: init state:[[ 2  4 20  0  0  0  0  0  0  0  0  0  0  0]], score: [155.818181818], loss:[0.000595391160622], sequence:[0], random actions:[2172], e:[0.74]
INFO:__main__:episode: 60, state: init state:[[ 2  4 37  0  0  0  0  0  0  0  0  0  0  0]], score: [208.363636364], loss:[0.000624038507696], sequence:[0], random actions:[2135], e:[0.74]
INFO:__main__:episode: 61, state: init state:[[ 2  4 54  0  0  0  0  0  0  0  0  0  0  0]], score: [158.363636364], loss:[0.000664656532928], sequence:[0], random actions:[2195], e:[0.74]
INFO:__main__:episode: 62, state: init state:[[ 2  5 11  0  0  0  0  0  0  0  0  0  0  0]], score: [202.545454545], loss:[0.000659607313387], sequence:[0], random actions:[2123], e:[0.73]
INFO:__main__:episode: 63, state: init state:[[ 2  5 28  0  0  0  0  0  0  0  0  0  0  0]], score: [196.545454545], loss:[0.000672373387311], sequence:[0], random actions:[2112], e:[0.73]
