INFO:__main__:args:[Namespace(gpuFrac=0.3, gpuNum=2, random=False, sequential=True)]
INFO:__main__:startTime:[12:00:00] - endTime:[18:00:00]
INFO:__main__:state_size:[3]
INFO:__main__:action_size:[2]
INFO:__main__:_________________________________________________________________
INFO:__main__:Layer (type)                 Output Shape              Param #   
INFO:__main__:=================================================================
INFO:__main__:dense_1 (Dense)              (None, 128)               512       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_2 (Dense)              (None, 64)                8256      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_3 (Dense)              (None, 32)                2080      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_4 (Dense)              (None, 16)                528       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_5 (Dense)              (None, 8)                 136       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_6 (Dense)              (None, 2)                 18        
INFO:__main__:=================================================================
INFO:__main__:Total params: 11,530
INFO:__main__:Trainable params: 11,530
INFO:__main__:Non-trainable params: 0
INFO:__main__:_________________________________________________________________
INFO:__main__:epsilon_decay:[0.995], epsilon:[1.0], learning_rate:[0.001], memory:[deque([], maxlen=500)], state_size:[3], action_size:[2], epsilon_min:[0.01], model:[<keras.models.Sequential object at 0x7f521cee9990>], gamma:[0.95]
INFO:__main__:minGameScore:[255], minGameSequence:[50], gameMinutesLength:[300], batch_size:[200]
INFO:__main__:episode: 58, state: init state:[[0 9 0]], score: [82], loss:[0.00236084668019], sequence:[0], random actions:[212], e:[0.75]
INFO:__main__:episode: 59, state: init state:[[ 0 26  0]], score: [66], loss:[0.00335344263503], sequence:[0], random actions:[228], e:[0.74]
INFO:__main__:episode: 60, state: init state:[[ 0 43  1]], score: [60], loss:[0.0328825079037], sequence:[0], random actions:[228], e:[0.74]
INFO:__main__:episode: 61, state: init state:[[1 0 0]], score: [48], loss:[0.015924443563], sequence:[0], random actions:[237], e:[0.74]
INFO:__main__:episode: 62, state: init state:[[ 1 17  1]], score: [72], loss:[0.073854994502], sequence:[0], random actions:[227], e:[0.73]
INFO:__main__:episode: 63, state: init state:[[ 1 34  1]], score: [62], loss:[0.00309164420996], sequence:[0], random actions:[228], e:[0.73]
INFO:__main__:episode: 64, state: init state:[[ 1 51  0]], score: [60], loss:[0.0020980606494], sequence:[0], random actions:[220], e:[0.73]
INFO:__main__:episode: 65, state: init state:[[2 8 1]], score: [70], loss:[0.000972306288259], sequence:[0], random actions:[208], e:[0.72]
INFO:__main__:episode: 66, state: init state:[[ 2 25  0]], score: [92], loss:[0.00988368455858], sequence:[0], random actions:[214], e:[0.72]
INFO:__main__:episode: 67, state: init state:[[ 2 42  1]], score: [88], loss:[0.117633156728], sequence:[0], random actions:[215], e:[0.71]
INFO:__main__:episode: 68, state: init state:[[ 2 59  0]], score: [74], loss:[0.0258033897894], sequence:[0], random actions:[207], e:[0.71]
INFO:__main__:episode: 69, state: init state:[[ 3 16  1]], score: [72], loss:[0.00210920091547], sequence:[0], random actions:[216], e:[0.71]
INFO:__main__:episode: 70, state: init state:[[ 3 33  0]], score: [102], loss:[0.00270379881988], sequence:[0], random actions:[197], e:[0.7]
INFO:__main__:episode: 71, state: init state:[[ 3 50  1]], score: [132], loss:[0.0654722218358], sequence:[0], random actions:[203], e:[0.7]
INFO:__main__:episode: 72, state: init state:[[4 7 0]], score: [124], loss:[0.0170455415812], sequence:[0], random actions:[206], e:[0.7]
INFO:__main__:episode: 73, state: init state:[[ 4 24  1]], score: [122], loss:[0.0692447311519], sequence:[0], random actions:[196], e:[0.69]
INFO:__main__:episode: 74, state: init state:[[ 4 41  1]], score: [84], loss:[0.0647282325615], sequence:[0], random actions:[210], e:[0.69]
INFO:__main__:episode: 75, state: init state:[[ 4 58  1]], score: [100], loss:[0.017237276324], sequence:[0], random actions:[210], e:[0.69]
INFO:__main__:episode: 76, state: init state:[[ 5 15  1]], score: [98], loss:[0.0222773218172], sequence:[0], random actions:[215], e:[0.68]
INFO:__main__:episode: 77, state: init state:[[ 5 32  0]], score: [90], loss:[0.00528813696774], sequence:[0], random actions:[217], e:[0.68]
INFO:__main__:episode: 78, state: init state:[[ 5 49  0]], score: [102], loss:[0.0033552238162], sequence:[0], random actions:[209], e:[0.68]
INFO:__main__:episode: 79, state: init state:[[6 6 0]], score: [98], loss:[0.00604066128789], sequence:[0], random actions:[201], e:[0.67]
INFO:__main__:episode: 80, state: init state:[[ 6 23  1]], score: [62], loss:[0.00542113596456], sequence:[0], random actions:[212], e:[0.67]
INFO:__main__:episode: 81, state: init state:[[ 6 40  1]], score: [96], loss:[0.0109685384093], sequence:[0], random actions:[208], e:[0.67]
