INFO:__main__:args:[Namespace(gpuFrac=0.3, gpuNum=2, random=False, sequential=True)]
INFO:__main__:startTime:[14:00:00] - endTime:[18:00:00]
INFO:__main__:state_size:[3]
INFO:__main__:action_size:[2]
INFO:__main__:_________________________________________________________________
INFO:__main__:Layer (type)                 Output Shape              Param #   
INFO:__main__:=================================================================
INFO:__main__:dense_1 (Dense)              (None, 128)               512       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_2 (Dense)              (None, 64)                8256      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_3 (Dense)              (None, 32)                2080      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_4 (Dense)              (None, 16)                528       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_5 (Dense)              (None, 8)                 136       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_6 (Dense)              (None, 2)                 18        
INFO:__main__:=================================================================
INFO:__main__:Total params: 11,530
INFO:__main__:Trainable params: 11,530
INFO:__main__:Non-trainable params: 0
INFO:__main__:_________________________________________________________________
INFO:__main__:epsilon_decay:[0.995], epsilon:[1.0], learning_rate:[0.001], memory:[deque([], maxlen=500)], state_size:[3], action_size:[2], epsilon_min:[0.01], model:[<keras.models.Sequential object at 0x7f113d1a9990>], gamma:[0.95]
INFO:__main__:minGameScore:[255], minGameSequence:[50], gameMinutesLength:[300], batch_size:[200]
INFO:__main__:episode: 75, state: init state:[[ 4 58  0]], score: [86], loss:[0.0461323231453], sequence:[0], random actions:[201], e:[0.69]
INFO:__main__:episode: 76, state: init state:[[ 5 15  1]], score: [118], loss:[0.208679250533], sequence:[0], random actions:[193], e:[0.68]
INFO:__main__:episode: 77, state: init state:[[ 5 32  1]], score: [110], loss:[0.527647634926], sequence:[0], random actions:[211], e:[0.68]
INFO:__main__:episode: 78, state: init state:[[ 5 49  1]], score: [96], loss:[0.367328520439], sequence:[0], random actions:[209], e:[0.68]
INFO:__main__:episode: 79, state: init state:[[6 6 1]], score: [80], loss:[0.0319573574804], sequence:[0], random actions:[198], e:[0.67]
INFO:__main__:episode: 80, state: init state:[[ 6 23  1]], score: [88], loss:[0.0131839019841], sequence:[0], random actions:[206], e:[0.67]
INFO:__main__:episode: 81, state: init state:[[ 6 40  1]], score: [70], loss:[0.00164446893554], sequence:[0], random actions:[216], e:[0.67]
INFO:__main__:episode: 82, state: init state:[[ 6 57  0]], score: [110], loss:[0.00063931848571], sequence:[0], random actions:[197], e:[0.66]
INFO:__main__:episode: 83, state: init state:[[ 7 14  1]], score: [76], loss:[0.000807879789827], sequence:[0], random actions:[207], e:[0.66]
INFO:__main__:episode: 84, state: init state:[[ 7 31  1]], score: [118], loss:[0.0557134969612], sequence:[0], random actions:[197], e:[0.66]
INFO:__main__:episode: 85, state: init state:[[ 7 48  1]], score: [106], loss:[0.139427417335], sequence:[0], random actions:[210], e:[0.65]
INFO:__main__:episode: 86, state: init state:[[8 5 0]], score: [112], loss:[0.0139542920672], sequence:[0], random actions:[201], e:[0.65]
INFO:__main__:episode: 87, state: init state:[[ 8 22  0]], score: [100], loss:[0.193076188414], sequence:[0], random actions:[200], e:[0.65]
INFO:__main__:episode: 88, state: init state:[[ 8 39  1]], score: [108], loss:[0.116254604803], sequence:[0], random actions:[197], e:[0.64]
INFO:__main__:episode: 89, state: init state:[[ 8 56  0]], score: [88], loss:[0.0565435375446], sequence:[0], random actions:[198], e:[0.64]
INFO:__main__:episode: 90, state: init state:[[ 9 13  1]], score: [50], loss:[0.285570709299], sequence:[0], random actions:[205], e:[0.64]
INFO:__main__:episode: 91, state: init state:[[ 9 30  1]], score: [74], loss:[0.248762187108], sequence:[0], random actions:[188], e:[0.63]
INFO:__main__:episode: 92, state: init state:[[ 9 47  1]], score: [70], loss:[0.404446963524], sequence:[0], random actions:[187], e:[0.63]
INFO:__main__:episode: 93, state: init state:[[10  4  1]], score: [72], loss:[0.517353272024], sequence:[0], random actions:[193], e:[0.63]
INFO:__main__:episode: 94, state: init state:[[10 21  1]], score: [68], loss:[0.632513309461], sequence:[0], random actions:[184], e:[0.62]
INFO:__main__:episode: 95, state: init state:[[10 38  0]], score: [58], loss:[0.551036779052], sequence:[0], random actions:[189], e:[0.62]
INFO:__main__:episode: 96, state: init state:[[10 55  0]], score: [10], loss:[0.572219125055], sequence:[0], random actions:[178], e:[0.62]
INFO:__main__:episode: 97, state: init state:[[11 12  1]], score: [30], loss:[0.569270874728], sequence:[0], random actions:[166], e:[0.61]
INFO:__main__:episode: 98, state: init state:[[11 29  1]], score: [14], loss:[0.66494749471], sequence:[0], random actions:[196], e:[0.61]
INFO:__main__:episode: 99, state: init state:[[11 46  1]], score: [-26], loss:[0.542859515473], sequence:[0], random actions:[175], e:[0.61]
INFO:__main__:episode: 100, state: init state:[[12  3  0]], score: [8], loss:[0.510301265791], sequence:[0], random actions:[187], e:[0.61]
INFO:__main__:episode: 101, state: init state:[[12 20  1]], score: [38], loss:[0.692829254341], sequence:[0], random actions:[193], e:[0.6]
INFO:__main__:episode: 102, state: init state:[[12 37  1]], score: [66], loss:[1.17697837797], sequence:[0], random actions:[169], e:[0.6]
INFO:__main__:episode: 103, state: init state:[[12 54  1]], score: [62], loss:[0.408561381207], sequence:[0], random actions:[190], e:[0.6]
INFO:__main__:episode: 104, state: init state:[[13 11  0]], score: [46], loss:[0.419522977092], sequence:[0], random actions:[173], e:[0.59]
INFO:__main__:episode: 105, state: init state:[[13 28  0]], score: [70], loss:[0.409979294351], sequence:[0], random actions:[182], e:[0.59]
INFO:__main__:episode: 106, state: init state:[[13 45  1]], score: [96], loss:[0.319352296039], sequence:[0], random actions:[182], e:[0.59]
INFO:__main__:episode: 107, state: init state:[[14  2  1]], score: [68], loss:[0.568173857529], sequence:[0], random actions:[173], e:[0.58]
INFO:__main__:episode: 108, state: init state:[[14 19  1]], score: [74], loss:[0.412171554838], sequence:[0], random actions:[162], e:[0.58]
INFO:__main__:episode: 109, state: init state:[[14 36  0]], score: [44], loss:[0.475824073025], sequence:[0], random actions:[171], e:[0.58]
INFO:__main__:episode: 110, state: init state:[[14 53  0]], score: [58], loss:[0.500488553094], sequence:[0], random actions:[179], e:[0.58]
INFO:__main__:episode: 111, state: init state:[[15 10  1]], score: [-2], loss:[0.514234656133], sequence:[0], random actions:[175], e:[0.57]
INFO:__main__:episode: 112, state: init state:[[15 27  0]], score: [-12], loss:[0.483567201123], sequence:[0], random actions:[175], e:[0.57]
INFO:__main__:episode: 113, state: init state:[[15 44  0]], score: [-10], loss:[0.48117528569], sequence:[0], random actions:[167], e:[0.57]
INFO:__main__:episode: 114, state: init state:[[16  1  0]], score: [2], loss:[0.462673415542], sequence:[0], random actions:[175], e:[0.56]
INFO:__main__:episode: 115, state: init state:[[16 18  0]], score: [30], loss:[0.430826438144], sequence:[0], random actions:[156], e:[0.56]
INFO:__main__:episode: 116, state: init state:[[16 35  1]], score: [56], loss:[0.512984520092], sequence:[0], random actions:[174], e:[0.56]
INFO:__main__:episode: 117, state: init state:[[16 52  0]], score: [80], loss:[0.363986097728], sequence:[0], random actions:[171], e:[0.56]
INFO:__main__:episode: 118, state: init state:[[17  9  1]], score: [34], loss:[0.344428766641], sequence:[0], random actions:[169], e:[0.55]
INFO:__main__:episode: 119, state: init state:[[17 26  0]], score: [106], loss:[0.207782528174], sequence:[0], random actions:[170], e:[0.55]
INFO:__main__:episode: 120, state: init state:[[17 43  1]], score: [112], loss:[0.186259349486], sequence:[0], random actions:[165], e:[0.55]
INFO:__main__:episode: 121, state: init state:[[18  0  0]], score: [126], loss:[0.0895860633535], sequence:[0], random actions:[161], e:[0.55]
INFO:__main__:episode: 122, state: init state:[[18 17  1]], score: [130], loss:[0.0359281378339], sequence:[0], random actions:[160], e:[0.54]
