INFO:__main__:args:[Namespace(gpuFrac=0.3, gpuNum=3, random=False, sequential=True)]
INFO:__main__:startTime:[06:00:00] - endTime:[18:00:00]
INFO:__main__:state_size:[3]
INFO:__main__:action_size:[2]
INFO:__main__:_________________________________________________________________
INFO:__main__:Layer (type)                 Output Shape              Param #   
INFO:__main__:=================================================================
INFO:__main__:dense_1 (Dense)              (None, 128)               512       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_2 (Dense)              (None, 64)                8256      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_3 (Dense)              (None, 32)                2080      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_4 (Dense)              (None, 16)                528       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_5 (Dense)              (None, 8)                 136       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_6 (Dense)              (None, 2)                 18        
INFO:__main__:=================================================================
INFO:__main__:Total params: 11,530
INFO:__main__:Trainable params: 11,530
INFO:__main__:Non-trainable params: 0
INFO:__main__:_________________________________________________________________
INFO:__main__:epsilon_decay:[0.995], epsilon:[1.0], learning_rate:[0.001], memory:[deque([], maxlen=1000)], state_size:[3], action_size:[2], epsilon_min:[0.01], model:[<keras.models.Sequential object at 0x7f38321a9990>], gamma:[0.95]
INFO:__main__:minGameScore:[425], minGameSequence:[50], gameMinutesLength:[500], batch_size:[128]
INFO:__main__:episode: 129, state: init state:[[20 16  0]], score: [238], loss:[0.0722254298411], sequence:[0], random actions:[272], e:[0.52]
INFO:__main__:episode: 130, state: init state:[[20 33  1]], score: [242], loss:[0.0629110709604], sequence:[0], random actions:[243], e:[0.52]
INFO:__main__:episode: 131, state: init state:[[20 50  0]], score: [278], loss:[0.018508594335], sequence:[0], random actions:[257], e:[0.52]
INFO:__main__:episode: 132, state: init state:[[21  7  1]], score: [256], loss:[0.0213396763168], sequence:[0], random actions:[263], e:[0.52]
INFO:__main__:episode: 133, state: init state:[[21 24  1]], score: [272], loss:[0.224517750692], sequence:[0], random actions:[239], e:[0.51]
INFO:__main__:episode: 134, state: init state:[[21 41  0]], score: [242], loss:[0.171567748571], sequence:[0], random actions:[252], e:[0.51]
INFO:__main__:episode: 135, state: init state:[[21 58  0]], score: [186], loss:[0.0660962695759], sequence:[0], random actions:[282], e:[0.51]
INFO:__main__:episode: 136, state: init state:[[22 15  0]], score: [240], loss:[0.333271995031], sequence:[0], random actions:[255], e:[0.51]
INFO:__main__:episode: 137, state: init state:[[22 32  0]], score: [182], loss:[0.202480914097], sequence:[0], random actions:[234], e:[0.5]
INFO:__main__:episode: 138, state: init state:[[22 49  1]], score: [40], loss:[0.315136024071], sequence:[0], random actions:[236], e:[0.5]
INFO:__main__:episode: 139, state: init state:[[23  6  0]], score: [128], loss:[0.419127030764], sequence:[0], random actions:[238], e:[0.5]
INFO:__main__:episode: 140, state: init state:[[23 23  1]], score: [182], loss:[0.422593511644], sequence:[0], random actions:[253], e:[0.5]
INFO:__main__:episode: 141, state: init state:[[23 40  1]], score: [224], loss:[0.308633783477], sequence:[0], random actions:[241], e:[0.49]
INFO:__main__:episode: 142, state: init state:[[23 57  1]], score: [212], loss:[0.28053269066], sequence:[0], random actions:[245], e:[0.49]
INFO:__main__:episode: 143, state: init state:[[ 0 14  0]], score: [256], loss:[0.286013803371], sequence:[0], random actions:[236], e:[0.49]
INFO:__main__:episode: 144, state: init state:[[ 0 31  1]], score: [184], loss:[0.271599502917], sequence:[0], random actions:[247], e:[0.49]
INFO:__main__:episode: 145, state: init state:[[ 0 48  1]], score: [180], loss:[0.176815712133], sequence:[0], random actions:[247], e:[0.48]
INFO:__main__:episode: 146, state: init state:[[1 5 1]], score: [194], loss:[0.303302026311], sequence:[0], random actions:[244], e:[0.48]
INFO:__main__:episode: 147, state: init state:[[ 1 22  0]], score: [226], loss:[0.318480716011], sequence:[0], random actions:[242], e:[0.48]
INFO:__main__:episode: 148, state: init state:[[ 1 39  0]], score: [174], loss:[0.181758061912], sequence:[0], random actions:[257], e:[0.48]
INFO:__main__:episode: 149, state: init state:[[ 1 56  0]], score: [212], loss:[0.338068785208], sequence:[0], random actions:[235], e:[0.47]
INFO:__main__:episode: 150, state: init state:[[ 2 13  1]], score: [100], loss:[0.259032057243], sequence:[0], random actions:[235], e:[0.47]
INFO:__main__:episode: 151, state: init state:[[ 2 30  1]], score: [230], loss:[0.240006542382], sequence:[0], random actions:[246], e:[0.47]
INFO:__main__:episode: 152, state: init state:[[ 2 47  1]], score: [274], loss:[0.143552306319], sequence:[0], random actions:[242], e:[0.47]
INFO:__main__:episode: 153, state: init state:[[3 4 1]], score: [218], loss:[0.372902978498], sequence:[0], random actions:[234], e:[0.46]
INFO:__main__:episode: 154, state: init state:[[ 3 21  0]], score: [240], loss:[0.0644427427909], sequence:[0], random actions:[243], e:[0.46]
INFO:__main__:episode: 155, state: init state:[[ 3 38  0]], score: [262], loss:[0.1166035568], sequence:[0], random actions:[234], e:[0.46]
INFO:__main__:episode: 156, state: init state:[[ 3 55  1]], score: [208], loss:[0.197550393561], sequence:[0], random actions:[232], e:[0.46]
INFO:__main__:episode: 157, state: init state:[[ 4 12  0]], score: [246], loss:[0.122993572184], sequence:[0], random actions:[223], e:[0.46]
INFO:__main__:episode: 158, state: init state:[[ 4 29  0]], score: [258], loss:[0.197422941394], sequence:[0], random actions:[230], e:[0.45]
INFO:__main__:episode: 159, state: init state:[[ 4 46  1]], score: [254], loss:[0.190432949142], sequence:[0], random actions:[220], e:[0.45]
INFO:__main__:episode: 160, state: init state:[[5 3 1]], score: [282], loss:[0.0982373460299], sequence:[0], random actions:[226], e:[0.45]
INFO:__main__:episode: 161, state: init state:[[ 5 20  1]], score: [266], loss:[0.202388545771], sequence:[0], random actions:[224], e:[0.45]
INFO:__main__:episode: 162, state: init state:[[ 5 37  0]], score: [252], loss:[0.0761086593246], sequence:[0], random actions:[206], e:[0.44]
INFO:__main__:episode: 163, state: init state:[[ 5 54  1]], score: [282], loss:[0.184915788485], sequence:[0], random actions:[215], e:[0.44]
INFO:__main__:episode: 164, state: init state:[[ 6 11  0]], score: [280], loss:[0.33881609789], sequence:[0], random actions:[216], e:[0.44]
INFO:__main__:episode: 165, state: init state:[[ 6 28  1]], score: [-12], loss:[0.332585273578], sequence:[0], random actions:[231], e:[0.44]
INFO:__main__:episode: 166, state: init state:[[ 6 45  0]], score: [292], loss:[0.232605339066], sequence:[0], random actions:[213], e:[0.44]
INFO:__main__:episode: 167, state: init state:[[7 2 0]], score: [282], loss:[0.125148555169], sequence:[0], random actions:[226], e:[0.43]
